Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Starovic Sasha,25,97,385.0,114.0,344.0,27.0,72.0,28.0,-13.0,2.0,1.0,,,,-50.0,748.0,40.0,65.0,319.0,426.0,37.0,39.0,40.0,,2017/2018,LT
Team Totals,26,102,1494.0,486.0,2220.0,105.0,384.0,103.0,-13.0,1892.0,180.0,829.0,499.0,264.0,17.0,2578.0,147.0,252.0,1172.0,455.0,40.0,217.0,213.0,,2017/2018,LT
Caccioppola Louis,1,1,,,,,,,,,,,,,,,,,,,,,,,2016/2017,LT
Fanuli Fabio,23,94,,,,,,,,473.0,39.0,203.0,129.0,273.0,19.0,,,,,,,,,,2016/2017,LT
Fei Alessandro,22,88,387.0,105.0,336.0,20.0,66.0,23.0,-14.0,31.0,7.0,10.0,7.0,226.0,,698.0,68.0,51.0,342.0,490.0,39.0,25.0,28.0,,2016/2017,LT
Gitto Carmelo,26,92,189.0,58.0,232.0,7.0,19.0,8.0,-5.0,9.0,1.0,2.0,1.0,111.0,,211.0,6.0,19.0,131.0,621.0,59.0,51.0,55.0,,2016/2017,LT
Ishikawa Yuki,8,25,25.0,9.0,31.0,2.0,8.0,8.0,-19.0,116.0,9.0,59.0,29.0,250.0,17.0,43.0,3.0,7.0,22.0,512.0,44.0,1.0,4.0,,2016/2017,LT
Klinkenberg Kevin,25,96,211.0,83.0,274.0,14.0,51.0,15.0,-14.0,527.0,41.0,225.0,136.0,258.0,18.0,368.0,24.0,38.0,165.0,448.0,38.0,32.0,33.0,,2016/2017,LT
Maruotti Gabriele,26,102,325.0,114.0,337.0,15.0,77.0,15.0,-18.0,595.0,70.0,226.0,159.0,267.0,15.0,605.0,55.0,68.0,275.0,455.0,36.0,35.0,34.0,,2016/2017,LT
Penchev Rozalin,22,56,117.0,33.0,132.0,15.0,41.0,27.0,-20.0,143.0,25.0,55.0,30.0,210.0,3.0,223.0,20.0,24.0,94.0,422.0,33.0,8.0,14.0,,2016/2017,LT
Pistolesi Matteo,24,65,1.0,1.0,77.0,1.0,8.0,2.0,-9.0,,,,,,,,,,,,,,,,2016/2017,LT
Quintana Guerra Danger Jorber,19,48,38.0,11.0,43.0,1.0,13.0,2.0,-28.0,2.0,,1.0,1.0,500.0,50.0,46.0,3.0,2.0,29.0,630.0,57.0,8.0,17.0,,2016/2017,LT
Rossi Andrea,26,101,192.0,59.0,363.0,15.0,20.0,15.0,-1.0,13.0,2.0,6.0,1.0,77.0,-8.0,211.0,12.0,12.0,124.0,588.0,53.0,53.0,52.0,,2016/2017,LT
Sottile Daniele,26,102,44.0,26.0,414.0,9.0,22.0,9.0,-3.0,14.0,3.0,9.0,,,-21.0,45.0,1.0,2.0,14.0,311.0,29.0,21.0,21.0,,2016/2017,LT
Strugar Bojan,17,39,18.0,2.0,18.0,,10.0,,-56.0,,,,,,,45.0,7.0,7.0,17.0,378.0,22.0,1.0,3.0,,2016/2017,LT
Team Totals,26,102,1547.0,501.0,2257.0,99.0,335.0,97.0,-10.0,1923.0,197.0,796.0,493.0,256.0,15.0,2495.0,199.0,230.0,1213.0,486.0,41.0,235.0,230.0,,2016/2017,LT
